"X","name","essround","proddate","cntry","netusoft","netustm","trstprl","trstplc","trstprt","trstep","trstun","freehms","euftf","atchctr","atcherp","rlgdgr","rlgatnd","pray","vteurmmb","vteubcmb","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","T_EUandUN","T_DOMEST","T_PATRIOT","V_EXCITE","V_MATERIA","V_AUTONOM","V_RELIGION","V_GROUP","IT_FREQ","IT_TIME"
1837,"ESS9e03_1",9,"17.02.2021","BG",1,NA,5,8,5,5,5,3,10,7,4,2,7,7,1,NA,5,5,5,5,2,5,3,3,5,3,5,5,3,5,3,3,3,5,5,5,5.2,5,7.5,2.5,2.5,4.28571428571429,1.625,3.35714285714286,NA,NA
1838,"ESS9e03_1",9,"17.02.2021","BG",1,NA,1,2,0,2,1,NA,5,5,3,4,6,6,NA,NA,6,3,2,4,2,3,4,4,5,4,3,4,2,5,3,3,3,3,2,4,2.75,0.5,3.5,2.83333333333333,3.83333333333333,3.66666666666667,3.375,4.78571428571429,NA,NA
1839,"ESS9e03_1",9,"17.02.2021","BG",2,NA,0,0,0,0,0,5,5,10,5,5,4,4,1,NA,3,5,3,3,3,3,3,3,4,3,2,2,2,5,2,2,2,2,2,6,2.4,0,5,2.5,4.16666666666667,4.28571428571429,4.625,5.21428571428571,6,NA
1840,"ESS9e03_1",9,"17.02.2021","BG",1,NA,0,0,0,0,0,NA,4,10,5,9,4,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,2,2,2,1,6,2.25,0,5,1.5,NA,5.5,6.5,5.5,NA,NA
1841,"ESS9e03_1",9,"17.02.2021","BG",1,NA,0,0,0,0,0,2,NA,3,NA,0,7,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,0,1.5,NA,NA,5,0.666666666666667,NA,NA,NA
1842,"ESS9e03_1",9,"17.02.2021","BG",5,180,1,1,1,1,1,1,10,10,NA,1,5,6,55,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,5.5,4.5,4.5,4.75,2.625,4.5,10.5,180
1843,"ESS9e03_1",9,"17.02.2021","BG",1,NA,5,5,5,NA,NA,NA,NA,10,6,4,7,1,1,NA,6,6,4,6,1,1,1,1,6,6,1,2,1,6,2,6,2,2,2,6,4,5,7.5,1.5,2.83333333333333,4.66666666666667,4.375,5.07142857142857,NA,NA
1844,"ESS9e03_1",9,"17.02.2021","BG",1,NA,0,0,0,0,0,3,7,10,10,3,7,7,1,NA,5,5,2,2,2,2,2,2,6,3,3,5,2,5,2,2,2,3,3,5,3.8,0,5,2.16666666666667,3.5,4.71428571428571,2.375,5.21428571428571,NA,NA
1845,"ESS9e03_1",9,"17.02.2021","BG",1,NA,0,2,0,0,0,NA,NA,9,NA,10,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,0,5.5,NA,NA,NA,8,NA,NA,NA
1846,"ESS9e03_1",9,"17.02.2021","BG",5,240,3,6,5,NA,NA,3,5,6,6,5,6,6,55,NA,5,5,2,3,2,3,2,3,3,2,2,4,2,4,2,2,2,2,2,2,5.5,4,6,4.5,3.5,4.71428571428571,3.625,5.35714285714286,10.5,240
1847,"ESS9e03_1",9,"17.02.2021","BG",2,NA,3,6,3,3,3,NA,8,10,NA,6,6,NA,NA,NA,4,4,3,3,NA,4,4,2,NA,NA,NA,NA,NA,2,4,NA,NA,3,5,3,4.66666666666667,3,8,5,4,4.16666666666667,3.5,4,6,NA
